domain,url,has_csp,has_reporting_csp,has_meta_csp,has_html,csp
"twitter.com","https://twitter.com/",True,False,False,True,"connect-src 'self' blob: https://*.pscp.tv https://*.video.pscp.tv https://*.twimg.com https://api.twitter.com https://api-stream.twitter.com https://ads-api.twitter.com https://aa.twitter.com https://caps.twitter.com https://pay.twitter.com https://sentry.io https://ton.twitter.com https://twitter.com https://upload.twitter.com https://www.google-analytics.com https://accounts.google.com/gsi/status https://accounts.google.com/gsi/log https://app.link https://api2.branch.io https://bnc.lt wss://*.pscp.tv https://vmap.snappytv.com https://vmapstage.snappytv.com https://vmaprel.snappytv.com https://vmap.grabyo.com https://dhdsnappytv-vh.akamaihd.net https://pdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mpdhdsnappytv-vh.akamaihd.net https://mmdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mpdhdsnappytv-vh.akamaihd.net https://mmdhdsnappytv-vh.akamaihd.net https://dwo3ckksxlb0v.cloudfront.net ; default-src 'self'; form-action 'self' https://twitter.com https://*.twitter.com; font-src 'self' https://*.twimg.com; frame-src 'self' https://twitter.com https://mobile.twitter.com https://pay.twitter.com https://cards-frame.twitter.com https://accounts.google.com/ https://client-api.arkoselabs.com/ https://iframe.arkoselabs.com/  https://recaptcha.net/recaptcha/ https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/; img-src 'self' blob: data: https://*.cdn.twitter.com https://ton.twitter.com https://*.twimg.com https://analytics.twitter.com https://cm.g.doubleclick.net https://www.google-analytics.com https://www.periscope.tv https://www.pscp.tv https://media.riffsy.com https://*.giphy.com https://media.tenor.com https://c.tenor.com https://*.pscp.tv https://*.periscope.tv https://prod-periscope-profile.s3-us-west-2.amazonaws.com https://platform-lookaside.fbsbx.com https://scontent.xx.fbcdn.net https://scontent-sea1-1.xx.fbcdn.net https://*.googleusercontent.com https://imgix.revue.co; manifest-src 'self'; media-src 'self' blob: https://twitter.com https://*.twimg.com https://*.vine.co https://*.pscp.tv https://*.video.pscp.tv https://dhdsnappytv-vh.akamaihd.net https://pdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mpdhdsnappytv-vh.akamaihd.net https://mmdhdsnappytv-vh.akamaihd.net https://mdhdsnappytv-vh.akamaihd.net https://mpdhdsnappytv-vh.akamaihd.net https://mmdhdsnappytv-vh.akamaihd.net https://dwo3ckksxlb0v.cloudfront.net; object-src 'none'; script-src 'self' 'unsafe-inline' https://*.twimg.com https://recaptcha.net/recaptcha/ https://www.google.com/recaptcha/ https://www.gstatic.com/recaptcha/ https://client-api.arkoselabs.com/ https://www.google-analytics.com https://twitter.com https://app.link https://accounts.google.com/gsi/client https://appleid.cdn-apple.com/appleauth/static/jsapi/appleid/1/en_US/appleid.auth.js  'nonce-OTgwNWI5YTYtYjdkZi00YjdlLThjMGYtYzYyNWZlOTRhMWM3'; style-src 'self' 'unsafe-inline' https://accounts.google.com/gsi/style https://*.twimg.com; worker-src 'self' blob:; report-uri https://twitter.com/i/csp_report?a=O5RXE%3D%3D%3D&ro=false"
"sohu.com","https://www.sohu.com/",False,False,False,True,None
"live.com","https://outlook.live.com/owa/",False,False,False,True,None
"jd.com","https://global.jd.com",False,False,False,True,None
"vk.com","https://vk.com/",True,False,False,True,"default-src * data: blob: about: vkcalls:;script-src 'self' https://vk.com https://*.vk.com https://vk.ru https://*.vk.ru https://static.vk.me https://*.mail.ru https://r.mradx.net https://s.ytimg.com https://platform.twitter.com https://cdn.syndication.twimg.com https://www.instagram.com https://connect.facebook.net https://telegram.org https://*.yandex.ru https://*.google-analytics.com https://*.youtube.com https://maps.googleapis.com https://translate.googleapis.com https://*.google.com https://google.com https://*.vkpartner.ru https://*.moatads.com https://*.adlooxtracking.ru https://*.serving-sys.ru https://*.weborama-tech.ru https://*.gstatic.com https://*.google.ru https://securepubads.g.doubleclick.net https://cdn.ampproject.org https://www.googletagmanager.com https://googletagmanager.com https://*.vk-cdn.net https://*.hit.gemius.pl https://yastatic.net https://analytics.tiktok.com 'unsafe-inline' 'unsafe-eval' blob:;style-src https://vk.com https://*.vk.com https://vk.ru https://*.vk.ru https://static.vk.me https://r.mradx.net https://ton.twimg.com https://tagmanager.google.com https://platform.twitter.com https://*.googleapis.com 'self' 'unsafe-inline';report-uri /csp"
"instagram.com","https://www.instagram.com/",True,False,False,True,"report-uri https://www.instagram.com/security/csp_report/; default-src 'self' https://www.instagram.com; img-src data: blob: https://*.fbcdn.net https://*.instagram.com https://*.cdninstagram.com https://*.facebook.com https://*.fbsbx.com; font-src data: https://*.fbcdn.net https://*.instagram.com https://*.cdninstagram.com; media-src 'self' blob: https://www.instagram.com https://*.cdninstagram.com https://*.fbcdn.net; manifest-src 'self' https://www.instagram.com; script-src 'self' https://instagram.com https://www.instagram.com https://*.www.instagram.com https://*.cdninstagram.com wss://www.instagram.com https://*.facebook.com https://*.fbcdn.net https://*.facebook.net 'unsafe-inline' 'unsafe-eval' blob:; style-src 'self' https://*.www.instagram.com https://www.instagram.com 'unsafe-inline'; connect-src 'self' https://instagram.com https://www.instagram.com https://*.www.instagram.com https://graph.instagram.com https://*.graph.instagram.com https://i.instagram.com/graphql_www https://graphql.instagram.com https://*.cdninstagram.com https://api.instagram.com https://i.instagram.com https://*.i.instagram.com https://*.od.instagram.com wss://www.instagram.com wss://edge-chat.instagram.com https://*.facebook.com https://*.fbcdn.net https://*.facebook.net chrome-extension://boadgeojelhgndaghljhdicfkmllpafd blob:; worker-src 'self' blob: https://www.instagram.com; frame-src 'self' https://instagram.com https://www.instagram.com https://*.instagram.com https://staticxx.facebook.com https://www.facebook.com https://web.facebook.com https://connect.facebook.net https://m.facebook.com https://*.fbsbx.com; object-src 'none'; upgrade-insecure-requests"
"sina.com.cn","https://www.sina.com.cn/",False,False,True,True,None
"weibo.com","https://weibo.com/overseas",True,False,False,True,"block-all-mixed-content;"
"login.tmall.com","https://login.tmall.com/",False,False,False,True,None
"360.cn","https://www.360.cn",False,False,False,True,None
"yandex.ru","https://yandex.ru/",True,False,False,True,"frame-ancestors *.yandex.ru rc.dzen.ru yandex.ru;child-src passport.yandex.ru yandex.ru yastatic.net 'self' an.yandex.ru blob: zen.yandex.ru awaps.yandex.net yandexadexchange.net *.yandexadexchange.net storage.mds.yandex.net *.yandex.ru banners.adfox.ru yastat.net mc.yandex.ru mc.yandex.md passport.yandex.ru;media-src *.cdn.ngenix.net blob: *.strm.yandex.net *.yandex.net strm.yandex.ru *.strm.yandex.ru yastat.net data: yandex.ru yandex.st yastatic.net banners.adfox.ru content.adfox.ru;report-uri https://csp.yandex.net/csp?project=morda&from=morda.big.ru&showid=1654091692502042-1497385026316196830-vla1-2676-vla-l7-balancer-8080-BAL-3896&h=prestable-morda-vla-yp-180&yandexuid=4161968301654091692&&version=2022-05-30-30.1&adb=0;connect-src *.cdn.ngenix.net *.strm.yandex.net auto.ru blob: favicon.yandex.net log.strm.yandex.ru mc.yandex.com thequestion.ru www.kinopoisk.ru zen-yandex-ru.cdnclab.net zen.me yandex.ru yastatic.net yastat.net 'self' portal-xiva.yandex.net wss://portal-xiva.yandex.net strm.yandex.ru mobile.yandex.net yabs.yandex.ru an.yandex.ru verify.yandex.ru *.verify.yandex.ru mc.yandex.ru yandex.st matchid.adfox.yandex.ru adfox.yandex.ru ads.adfox.ru ads6.adfox.ru jstracer.yandex.ru tps.doubleverify.com pixel.adsafeprotected.com amc.yandex.ru wss://webasr.voicetech.yandex.net zen.yandex.ru *.mediascope.mc.yandex.ru csp.yandex.net *.strm.yandex.ru frontend.vh.yandex.ru wss://push.yandex.ru awaps.yandex.net awaps.yandex.ru *.mc.yandex.ru adstat.yandex.ru mc.admetrica.ru;style-src 'unsafe-inline' yastatic.net zen.yandex.ru yandex.st banners.adfox.ru content.adfox.ru yastat.net;img-src *.verify.yandex.ru auto.ru strm.yandex.net thequestion.ru www.kinopoisk.ru zen-yandex-ru.cdnclab.net 'self' yastatic.net data: yandex.ru resize.yandex.net *.strm.yandex.net strm.yandex.ru avatars.mds.yandex.net avatars-fast.yandex.net favicon.yandex.net banners.adfox.ru content.adfox.ru ads6.adfox.ru yastat.net mc.yandex.ru *.tns-counter.ru verify.yandex.ru ads.adfox.ru bs.serving-sys.com bs.serving-sys.ru ad.adriver.ru wcm.solution.weborama.fr wcm-ru.frontend.weborama.fr mc.admetrica.ru ad.doubleclick.net rgi.io track.rutarget.ru ssl.hurra.com amc.yandex.ru gdeby.hit.gemius.pl tps.doubleverify.com pixel.adsafeprotected.com impression.appsflyer.com pixel.adlooxtracking.com pixel.adlooxtracking.ru an.yandex.ru yabs.yandex.ru zen.yandex.ru s3.mds.yandex.net zen.s3.yandex.net *.mediascope.mc.yandex.ru px.moatads.com tns-counter.ru storage.mds.yandex.net awaps.yandex.net awaps.yandex.ru gdero.hit.gemius.pl mc.yandex.com *.mc.yandex.ru adstat.yandex.ru;script-src 'nonce-r5ovbaZMqT/q/y4DjXa66Q==' mc.yandex.com zen-yandex-ru.cdnclab.net yastatic.net yandex.ru 'self' an.yandex.ru storage.mds.yandex.net zen.yandex.ru yandex.st mc.yandex.ru banners.adfox.ru ads.adfox.ru ads6.adfox.ru yastat.net *.mc.yandex.ru adstat.yandex.ru;default-src yastatic.net yastat.net zen.yandex.ru awaps.yandex.net awaps.yandex.ru;font-src yastatic.net zen.yandex.ru an.yandex.ru yastat.net data: 'self';object-src avatars.mds.yandex.net"
"linkedin.com","https://www.linkedin.com/",True,False,False,True,"default-src 'none'; connect-src 'self' *.licdn.com www.linkedin.com www.google-analytics.com https://dpm.demdex.net/id lnkd.demdex.net blob: https://accounts.google.com/gsi/ https://linkedin.sc.omtrdc.net/b/ss/; script-src 'sha256-DwtT8+ZZKpxH9pqZNAmJ3GdbLAh5SsYaXR3omTXPCns=' 'sha256-sV9jZa797T0QWBzcU/CNd4tpBhTnh+TFdLnfjlitl28=' 'sha256-aa/Q8CRBDSqTQbCIyioPhZaz+G+dbPyu7BzsjInEmiU=' 'sha256-THuVhwbXPeTR0HszASqMOnIyxqEgvGyBwSPBKBF/iMc=' 'sha256-zTIusdVJJeXz9+iox2a+pdDglzbpRpFVRzEwvW4AONk=' 'sha256-iC8MPqNLw0FDnsBf4DlSkFLNTwhkI85aouiAEB819ic=' 'sha256-2EqrEvcPzl8c6/TSGVvaVMEe7lg700MAz/te4/3kTYY=' 'sha256-y5uW69VItKj51mcc7UD9qfptDVUqicZL+bItEpvVNDw=' 'sha256-DatsFGoJ8gFkzzxo47Ou76WZ+3QBPOQHtBu9p9b3DhA=' 'sha256-k95cyM8gFgPziZe5VQ2IvJvBUVyd5zFt2CokIUwqdHE=' 'sha256-PyCXNcEkzRWqbiNr087fizmiBBrq9O6GGD8eV3P09Ik=' 'sha256-2SQ55Erm3CPCb+k03EpNxU9bdV3XL9TnVTriDs7INZ4=' 'sha256-S/KSPe186K/1B0JEjbIXcCdpB97krdzX05S+dHnQjUs=' snap.licdn.com 'sha256-9pXOIwF4N0gPltLd3AI69lkCjSC2H/Eb3sc5zdmUyYU=' 'sha256-jou6v/Nleyzoc+LXktAv1Fp8M807dVVxy7E/yzVljHc=' 'sha256-6E4e/3dSvj/8JZT2S2yR91mspqM6MyOpKl5lrhHsZa8=' platform.linkedin.com platform-akam.linkedin.com platform-ecst.linkedin.com platform-azur.linkedin.com static.licdn.com static-exp1.licdn.com static-exp2.licdn.com static-exp3.licdn.com; img-src data: blob: * android-webview-video-poster:; font-src data: *; style-src 'self' 'unsafe-inline' static.licdn.com static-exp1.licdn.com static-exp2.licdn.com static-exp3.licdn.com; media-src dms.licdn.com *.lynda.com; child-src blob: lnkd-communities: voyager: *; frame-src 'self' https://www.youtube.com/embed/ https://www.youtube-nocookie.com/embed/ lnkd.demdex.net https://smartlock.google.com/ https://accounts.google.com/ linkedin.cdn.qualaroo.com player.vimeo.com www.linkedin.com www.slideshare.net *.megaphone.fm msit.powerbi.com app.powerbi.com linkedin.github.io https://*.licdn.com; frame-ancestors 'self' https://onyx.www.linkedin.com; manifest-src 'self'; report-uri /security/csp?e=p&f=gg"
"blogspot.com","https://www.blogger.com/about/?bpli=1",True,False,False,True,"default-src 'self' https://*.google-analytics.com https://*.googleusercontent.com https://*.gstatic.com; script-src 'self' 'unsafe-inline' https://*.google-analytics.com https://*.googleapis.com; style-src 'self' 'unsafe-inline' https://*.googleapis.com"
"netflix.com","https://www.netflix.com/se-en/",False,False,False,True,None
"twitch.tv","https://www.twitch.tv/",False,False,False,True,None
"whatsapp.com","https://www.whatsapp.com/",False,False,False,True,None
"pornhub.com","https://www.pornhub.com/",False,False,False,True,None
"yahoo.co.jp","https://www.yahoo.co.jp:443/",False,False,False,True,None
"csdn.net","https://www.csdn.net/",False,False,False,True,None
"naver.com","https://www.naver.com/",False,False,False,True,None
"pages.tmall.com","https://err.tmall.com/error1.html?c=404&u=https%3A%2F%2Fpages.tmall.com%2F",False,False,False,True,None
"microsoft.com","https://www.microsoft.com/sv-se/",False,False,False,True,None
"livejasmin.com","https://www.livejasmin.com/en/girls/",False,False,False,True,None
"aliexpress.com","https://www.aliexpress.com/",False,False,False,True,None
"bing.com","https://www.bing.com:443/?toWww=1&redig=6F5CD42120364679985B9BF76C74FB44",False,True,False,True,"script-src https: 'strict-dynamic' 'report-sample' 'nonce-LddihWuc91A1BEFAocBa7JpUN2V54i+GzgbwJxncwqA='; base-uri 'self';report-to csp-endpoint"
"ebay.com","https://www.ebay.com/",True,False,False,True,"default-src 'self' blob: wss: data: https:; script-src 'self' 'unsafe-eval' 'unsafe-inline' blob: data: https:; style-src 'self' 'unsafe-inline' data: https:; img-src 'self' data: https:;  report-uri https://monitor.ebay.com/csp-report/r1highlnfe38/Highline_Homepage?id=local"
"github.com","https://github.com/",True,False,False,True,"default-src 'none'; base-uri 'self'; block-all-mixed-content; child-src github.com/assets-cdn/worker/ gist.github.com/assets-cdn/worker/; connect-src 'self' uploads.github.com objects-origin.githubusercontent.com www.githubstatus.com collector.github.com raw.githubusercontent.com api.github.com github-cloud.s3.amazonaws.com github-production-repository-file-5c1aeb.s3.amazonaws.com github-production-upload-manifest-file-7fdce7.s3.amazonaws.com github-production-user-asset-6210df.s3.amazonaws.com cdn.optimizely.com logx.optimizely.com/v1/events *.actions.githubusercontent.com wss://*.actions.githubusercontent.com online.visualstudio.com/api/v1/locations github-production-repository-image-32fea6.s3.amazonaws.com github-production-release-asset-2e65be.s3.amazonaws.com insights.github.com wss://alive.github.com github.githubassets.com; font-src github.githubassets.com; form-action 'self' github.com gist.github.com objects-origin.githubusercontent.com; frame-ancestors 'none'; frame-src render.githubusercontent.com viewscreen.githubusercontent.com notebooks.githubusercontent.com; img-src 'self' data: github.githubassets.com identicons.github.com github-cloud.s3.amazonaws.com secured-user-images.githubusercontent.com/ github-production-user-asset-6210df.s3.amazonaws.com *.githubusercontent.com customer-stories-feed.github.com spotlights-feed.github.com; manifest-src 'self'; media-src github.com user-images.githubusercontent.com/ github.githubassets.com; script-src github.githubassets.com; style-src 'unsafe-inline' github.githubassets.com; worker-src github.com/assets-cdn/worker/ gist.github.com/assets-cdn/worker/"
"tribunnews.com","https://www.tribunnews.com/",False,False,False,True,None
"google.com.hk","https://www.google.com.hk/",False,False,False,True,None
"amazon.co.jp","https://www.amazon.co.jp/",False,True,False,True,"default-src 'self' blob: https: data: mediastream: 'unsafe-eval' 'unsafe-inline';report-uri https://metrics.media-amazon.com/"
"stackoverflow.com","https://stackoverflow.com/",True,False,False,True,"upgrade-insecure-requests; frame-ancestors 'self' https://stackexchange.com"
"mail.ru","https://mail.ru/",True,False,False,True,"default-src *.adlooxtracking.com *.adlooxtracking.ru *.adsafeprotected.com *.doubleverify.com *.googlesyndication.com *.imgsmail.ru *.mail.ru *.moatads.com *.mradx.net *.serving-sys.com *.serving-sys.ru *.weborama.fr *.weborama-tech.ru an.yandex.ru cdn.consentmanager.mgr.consensu.org consentmanager.mgr.consensu.org jstracer.yandex.ru mail.ru mc.yandex.by mc.yandex.com mc.yandex.fr mc.yandex.kz mc.yandex.md mc.yandex.ru mc.yandex.ua mc.yandex.uz strm.yandex.ru yandex.ru yandex.st yastat.net yastatic.net; script-src *.adlooxtracking.com *.adlooxtracking.ru *.adsafeprotected.com *.criteo.com *.doubleclick.net *.doubleverify.com *.dvtps.com *.googleadservices.com *.googleapis.com *.googlesyndication.com *.googletagservices.com *.imgsmail.ru *.mail.ru *.moatads.com *.mradx.net *.odnoklassniki.ru *.relap.io *.roxot-panel.com *.serving-sys.com *.serving-sys.ru *.weborama.fr *.weborama-tech.ru *.vk.com adservice.google.com adservice.google.ru an.yandex.ru cdn.ampproject.org cdn.consentmanager.mgr.consensu.org consentmanager.mgr.consensu.org cdn.consentmanager.net mail.ru mc.yandex.by mc.yandex.com mc.yandex.fr mc.yandex.kz mc.yandex.md mc.yandex.ru mc.yandex.ua mc.yandex.uz ok.ru relap.io static.criteo.net vk.com yandex.ru yandex.st yastat.net yastatic.net home.mrgcdn.ru 'unsafe-eval' 'unsafe-inline'; connect-src *.adlooxtracking.com *.adlooxtracking.ru *.adsafeprotected.com *.criteo.com *.doubleverify.com *.imgsmail.ru *.mail.ru *.moatads.com *.mradx.net *.relap.io *.roxot-panel.com *.serving-sys.com *.serving-sys.ru *.weborama.fr *.weborama-tech.ru *.vk.com ads.betweendigital.com an.yandex.ru cdn.consentmanager.mgr.consensu.org cdn.jsdelivr.net consentmanager.mgr.consensu.org csi.gstatic.com ib.adnxs.com jstracer.yandex.ru mail.ru mc.yandex.by mc.yandex.com mc.yandex.fr mc.yandex.kz mc.yandex.md mc.yandex.ru mc.yandex.ua mc.yandex.uz ok.ru pagead2.googlesyndication.com pb.adriver.ru prebid-bidder.rutarget.ru prebid-eu.creativecdn.com px.adhigh.net relap.io securepubads.g.doubleclick.net ssp.hybrid.ai ssp.otm-r.com static.criteo.net strm.yandex.ru vk.com yandex.ru yandex.st yastat.net yastatic.net ymetrica1.com home.mrgcdn.ru; img-src data: blob: *; media-src *.imgsmail.ru *.mail.ru *.mradx.net *.ok.ru *.strm.yandex.ru *.vk.com *.yandex.net coub-anubis-a.akamaized.net data: mail.ru ok.ru strm.yandex.ru vk.com yandex.ru yandex.st yastat.net yastatic.net; style-src *.imgsmail.ru *.mail.ru *.mradx.net blob: cdn.consentmanager.mgr.consensu.org consentmanager.mgr.consensu.org yandex.st yastat.net yastatic.net home.mrgcdn.ru 'unsafe-eval' 'unsafe-inline'; font-src *.imgsmail.ru *.mail.ru *.mradx.net an.yandex.ru blob: data: https: yastat.net yastatic.net 'self'; frame-src *.criteo.com *.doubleclick.net *.doubleverify.com *.googlesyndication.com *.imgsmail.ru *.mail.ru *.mradx.net *.ok.ru *.vk.com *.yandex.ru *.yandexadexchange.net awaps.yandex.net mail.ru mc.yandex.by mc.yandex.com mc.yandex.fr mc.yandex.kz mc.yandex.md mc.yandex.ru mc.yandex.ua mc.yandex.uz ok.ru tpc.googlesyndication.com vk.com www.google.com yandexadexchange.net yastat.net yastatic.net; report-uri https://cspreport.mail.ru/splash?mode=csp&v=29.03.22;"
"google.co.in","https://www.google.co.in/",False,False,False,True,None
"office.com","https://www.office.com/",False,False,False,True,None
